symbol,date,callvol,putvol,calloi,putoi,iv30mean,iv60mean,type,volume,oi
AMC,2021-01-04 00:00:00,47552,34611,451194,288100,1.9691,2.0567,call,47552,451194
AMC,2021-01-04 00:00:00,0,0,0,0,1.9691,2.0567,put,34611,288100
AMD,2021-01-04 00:00:00,313826,141333,1235008,1109942,0.6032,0.5586,call,313826,1235008
AMD,2021-01-04 00:00:00,0,0,0,0,0.6032,0.5586,put,141333,1109942
AMZN,2021-01-04 00:00:00,182989,150804,531938,425176,0.4094,0.3833,call,182989,531938
AMZN,2021-01-04 00:00:00,0,0,0,0,0.4094,0.3833,put,150804,425176
APPS,2021-01-04 00:00:00,6626,2462,48247,32904,0.9526,0.9574,call,6626,48247
APPS,2021-01-04 00:00:00,0,0,0,0,0.9526,0.9574,put,2462,32904
AVGO,2021-01-04 00:00:00,7537,7795,51043,108110,0.3178,0.3383,call,7537,51043
AVGO,2021-01-04 00:00:00,0,0,0,0,0.3178,0.3383,put,7795,108110
BABA,2021-01-04 00:00:00,201777,111576,2020217,1531515,0.412,0.4158,call,201777,2020217
BABA,2021-01-04 00:00:00,0,0,0,0,0.412,0.4158,put,111576,1531515
BB,2021-01-04 00:00:00,27656,3479,408621,101953,0.6408,0.6492,call,27656,408621
BB,2021-01-04 00:00:00,0,0,0,0,0.6408,0.6492,put,3479,101953
CRWD,2021-01-04 00:00:00,16008,12570,131658,161635,0.5881,0.5969,call,16008,131658
CRWD,2021-01-04 00:00:00,0,0,0,0,0.5881,0.5969,put,12570,161635
DKNG,2021-01-04 00:00:00,83533,29894,506757,197271,0.75,0.761,call,83533,506757
DKNG,2021-01-04 00:00:00,0,0,0,0,0.75,0.761,put,29894,197271
GME,2021-01-04 00:00:00,59621,39425,362306,396027,1.3171,1.3961,call,59621,362306
GME,2021-01-04 00:00:00,0,0,0,0,1.3171,1.3961,put,39425,396027
MCFE,2021-01-04 00:00:00,1199,131,15163,6409,0.6704,0.6204,call,1199,15163
MCFE,2021-01-04 00:00:00,0,0,0,0,0.6704,0.6204,put,131,6409
MRNA,2021-01-04 00:00:00,70058,44235,285835,255269,0.8958,0.8687,call,70058,285835
MRNA,2021-01-04 00:00:00,0,0,0,0,0.8958,0.8687,put,44235,255269
NET,2021-01-04 00:00:00,17055,9635,163978,101908,0.6727,0.7134,call,17055,163978
NET,2021-01-04 00:00:00,0,0,0,0,0.6727,0.7134,put,9635,101908
NKLA,2021-01-04 00:00:00,38969,22852,341019,292449,1.1204,1.1835,call,38969,341019
NKLA,2021-01-04 00:00:00,0,0,0,0,1.1204,1.1835,put,22852,292449
PLTR,2021-01-04 00:00:00,267641,94081,1167394,871764,0.9966,1.046,call,267641,1167394
PLTR,2021-01-04 00:00:00,0,0,0,0,0.9966,1.046,put,94081,871764
PYPL,2021-01-04 00:00:00,40526,21537,340767,293263,0.4486,0.4262,call,40526,340767
PYPL,2021-01-04 00:00:00,0,0,0,0,0.4486,0.4262,put,21537,293263
RDHL,2021-01-04 00:00:00,119,6,16664,3133,1.417,1.3358,call,119,16664
RDHL,2021-01-04 00:00:00,0,0,0,0,1.417,1.3358,put,6,3133
REKR,2021-01-04 00:00:00,347,14,6254,870,1.1272,1.0346,call,347,6254
REKR,2021-01-04 00:00:00,0,0,0,0,1.1272,1.0346,put,14,870
RIDE,2021-01-04 00:00:00,10498,4155,92951,41485,1.1534,1.1471,call,10498,92951
RIDE,2021-01-04 00:00:00,0,0,0,0,1.1534,1.1471,put,4155,41485
ROOT,2021-01-04 00:00:00,1614,427,14405,12195,1.0845,1.0831,call,1614,14405
ROOT,2021-01-04 00:00:00,0,0,0,0,1.0845,1.0831,put,427,12195
SKLZ,2021-01-04 00:00:00,8464,3070,83079,33785,1.2526,1.2488,call,8464,83079
SKLZ,2021-01-04 00:00:00,0,0,0,0,1.2526,1.2488,put,3070,33785
SPLK,2021-01-04 00:00:00,6860,2658,104564,63859,0.439,0.4088,call,6860,104564
SPLK,2021-01-04 00:00:00,0,0,0,0,0.439,0.4088,put,2658,63859
SPRT,2021-01-04 00:00:00,1,0,479,19,1.6969,0.9095,call,1,479
SPRT,2021-01-04 00:00:00,0,0,0,0,1.6969,0.9095,put,0,19
TSLA,2021-01-04 00:00:00,754833,516062,2652556,4356582,0.7384,0.7174,call,754833,2652556
TSLA,2021-01-04 00:00:00,0,0,0,0,0.7384,0.7174,put,516062,4356582
UEC,2021-01-04 00:00:00,2193,22,29799,4553,1.1841,1.1822,call,2193,29799
UEC,2021-01-04 00:00:00,0,0,0,0,1.1841,1.1822,put,22,4553
WISH,2021-01-04 00:00:00,9728,6304,13777,9185,1.1036,1.1396,call,9728,13777
WISH,2021-01-04 00:00:00,0,0,0,0,1.1036,1.1396,put,6304,9185
WKHS,2021-01-04 00:00:00,70952,18453,270561,153244,1.105,1.2012,call,70952,270561
